Sl. No.,State/ UT,Registered Users
1,Andaman and Nicobar Islands,78223
2,Andhra Pradesh,9781140
3,Arunachal Pradesh,183302
4,Assam,4760269
5,Bihar,10976877
6,Chandigarh,365224
7,Chhattisgarh,2719399
8,Dadra and Nagar Haveli and Daman and Diu,123754
9,NCT of Delhi,6622285
10,Goa,334079
11,Gujarat,11103241
12,Haryana,6287014
13,Himachal Pradesh,1491792
14,Jammu and Kashmir,1740530
15,Jharkhand,3767135
16,Karnataka,19126912
17,Kerala,5534010
18,Ladakh,5403
19,Lakshadweep,7589
20,Madhya Pradesh,10064166
21,Maharashtra,25726454
22,Manipur,316071
23,Meghalaya,190282
24,Mizoram,88273
25,Nagaland,139982
26,Odisha,4661600
27,Puducherry,224482
28,Punjab,5217936
29,Rajasthan,12834860
30,Sikkim,90130
31,Tamil Nadu,10277223
32,Telangana,4151154
33,Tripura,365094
34,Uttar Pradesh,29638686
35,Uttarakhand,2286358
36,West Bengal,9270409
